#,用户,电子邮件,学校,名称,学号,总分数,#1 「TAOI-3」分数,#2 「TAOI-3」幸运草,#3 「TAOI-3」终有一天，飞向水平线的彼方,#4 「TAOI-3」地地爱打卡,#5 「TAOI-3」Warmth of the Eternity
1,WeiHan,pqweyvykix4u@hydro.local,,WeiHan,,500,100,100,100,100,100
1,zxh923,oVTTIEtFJBIe@hydro.local,,zxh923,,500,100,100,100,100,100
1,shinzanmono,MvkvseKKCnlj@hydro.local,,shinzanmono,,500,100,100,100,100,100
1,ax_by_c,BOYRzLojWSi0@hydro.local,,ax_by_c,,500,100,100,100,100,100
1,sbno333,0cO51n1O9M7u@hydro.local,,sbno333,,500,100,100,100,100,100
1,wangmarui,ccIW59YJiC9R@hydro.local,,wangmarui,,500,100,100,100,100,100
1,Register_int,rL1wFoLSljoP@hydro.local,,Register_int,,500,100,100,100,100,100
8,I_will_AKIOI,5YtXOS7qmGzL@hydro.local,,I_will_AKIOI,,434,100,100,100,100,34
8,zhaojunjie,xWyU4QpI4seL@hydro.local,,zhaojunjie,,434,100,100,100,100,34
8,zcz0263,s50zRp7yqhr2@hydro.local,,zcz0263,,434,100,100,100,100,34
11,shuqiang,vfVPb3yf6xWl@hydro.local,,shuqiang,,418,100,100,100,100,18
11,__FL__,l0Oi1fOm078M@hydro.local,,__FL__,,418,100,100,100,100,18
11,wangsq,mSwHCFTOkjnn@hydro.local,,wangsq,,418,100,100,100,100,18
11,DengStar,x8oomkZBgTjr@hydro.local,,DengStar,,418,100,100,100,100,18
15,KDL_ANIPLEX,xOB3Ppt2aSqg@hydro.local,,KDL_ANIPLEX,,409,100,100,100,100,9
15,Lebao2023,ZM3IKYgqj89L@hydro.local,,Lebao2023,,409,100,100,100,100,9
15,_O_v_O_,iuWOz6UxE2KE@hydro.local,,_O_v_O_,,409,100,100,100,100,9
18,virtual_self,npIGTPcYwFFH@hydro.local,,virtual_self,,400,100,100,100,100,-
18,wanglongye,vEszoGbsXHvY@hydro.local,,wanglongye,,400,100,100,100,100,-
18,Manki233,YFt7XdLGH9UQ@hydro.local,,Manki233,,400,100,100,100,100,-
18,lcy6,B5wEjlV6ychx@hydro.local,,lcy6,,400,100,100,100,100,-
22,vanueber,pdD57rFUaQ3w@hydro.local,,vanueber,,371,100,100,100,46,25
23,fish_love_cat,UQXFHzcnsvEg@hydro.local,,fish_love_cat,,364,100,100,100,46,18
24,_zhang,9vl6X7vPVsTv@hydro.local,,_zhang,,355,100,100,100,46,9
25,吴鸿涛,YsoAru08qRm9@hydro.local,,吴鸿涛,,346,100,100,100,46,-
25,cly312,aYzHQntU0NaM@hydro.local,,cly312,,346,100,100,100,46,-
25,laiyouming,xWpoNj9amiYe@hydro.local,,laiyouming,,346,100,100,100,46,-
28,Snoozing_QwQ,X4U9RSBUhMg1@hydro.local,,Snoozing_QwQ,,340,100,100,100,22,18
29,gbrrain,krK0BogRslTx@hydro.local,,gbrrain,,331,100,100,100,22,9
29,A_Small_WA,5Ps3KlRHVcoV@hydro.local,,A_Small_WA,,331,100,100,100,22,9
31,hejinming2012,wzmPTUAf3MOn@hydro.local,,hejinming2012,,322,100,100,100,22,-
32,Han20240828,ArazLuh9fYsV@hydro.local,,Han20240828,,318,100,100,100,-,18
32,Duvet,6DXNyp0AlTjF@hydro.local,,Duvet,,318,100,100,100,-,18
34,zhaohaocheng1234,dHrVbD8ZboaB@hydro.local,,zhaohaocheng1234,,309,100,100,100,-,9
34,bianjiachen,mvjbk8QQCxS6@hydro.local,,bianjiachen,,309,100,100,100,0,9
34,bloodbao,CxYCjCbovcpe@hydro.local,,bloodbao,,309,100,100,100,0,9
34,shitingjia,YvMKVnBHrYsN@hydro.local,,shitingjia,,309,100,100,100,-,9
34,tangzirui1016,JrA3dIwXQ6TT@hydro.local,,tangzirui1016,,309,100,100,100,-,9
39,JasonTesla,wivnO9SjE4dv@hydro.local,,JasonTesla,,305,100,100,96,0,9
39,巫九,DSORO2TyT0YU@hydro.local,,巫九,,305,100,100,96,-,9
41,nhirsama,6SxwXrYqQdfp@hydro.local,,nhirsama,,300,100,100,100,-,-
41,zhutongxuan,BDRnjsOKqCML@hydro.local,,zhutongxuan,,300,100,100,100,-,-
41,han_li,PMzztXiOaZ0A@hydro.local,,han_li,,300,100,100,100,0,-
41,tangyuxi666,LyL1SvriDBK4@hydro.local,,tangyuxi666,,300,100,100,100,-,-
41,liulisu,i3AfiKCpkiNV@hydro.local,,liulisu,,300,100,100,100,-,-
41,freematt_matt,qwKGs4JvVp8f@hydro.local,,freematt_matt,,300,100,100,100,-,-
41,lvweisi,NCnt1Ai1N6ro@hydro.local,,lvweisi,,300,100,100,100,-,-
41,_LX_,K1k5XGippN49@hydro.local,,_LX_,,300,100,100,100,-,-
41,lrj3247,suCdaBk4ijwy@hydro.local,,lrj3247,,300,100,100,100,-,-
50,dongzirui0817,UIGN8U57wEXi@hydro.local,,dongzirui0817,,297,100,85,48,46,18
51,skyx,g8ZKjPu8ZUfk@hydro.local,,skyx,,260,100,100,60,-,-
51,Debug618,9fzCaIEXbHlX@hydro.local,,Debug618,,260,100,60,100,0,-
