#,用户,电子邮件,学校,名称,学号,总分数,#1 变,#2 排,#3 跳,#4 换
1,zlt,HDx2oEfh4MF8@hydro.local,,zlt,,400,100,100,100,100
1,lgvc,oDPRu42n6bUu@hydro.local,,lgvc,,400,100,100,100,100
1,xhgua,5vimOCw8o8s7@hydro.local,,xhgua,,400,100,100,100,100
1,幸存者,4h25HRQPX8Dj@hydro.local,,幸存者,,400,100,100,100,100
1,hhoppitree,C9dslOJfa2Bp@hydro.local,,hhoppitree,,400,100,100,100,100
1,yydtq,AgTzZdLrZPbu@hydro.local,,yydtq,,400,100,100,100,100
1,lycc,NDINkHv95Wcp@hydro.local,,lycc,,400,100,100,100,100
1,lsj2009,MUdS8bNn41R7@hydro.local,,lsj2009,,400,100,100,100,100
1,chenxinyang2006,aERgbbM7U5YU@hydro.local,,chenxinyang2006,,400,100,100,100,100
1,Nesraychan,IwvxlGzvtmrx@hydro.local,,Nesraychan,,400,100,100,100,100
11,Azure_Space,ksCrieZDPRA8@hydro.local,,Azure_Space,,339,100,100,100,39
11,xvzhiming,05Fdub7IN2CB@hydro.local,,xvzhiming,,339,100,100,100,39
11,从蒟蒻到小犇,YcnU0HlxnNPV@hydro.local,,从蒟蒻到小犇,,339,100,100,100,39
14,Ayaya,VUVw1sPIx5J7@hydro.local,,Ayaya,,308,100,100,100,8
15,aqx_AK_xyf,SipBGYl12Mra@hydro.local,,aqx_AK_xyf,,300,100,100,100,-
15,lsxhyyds,fc7rZbX0TnJC@hydro.local,,lsxhyyds,,300,100,100,100,-
15,yaoyanfeng,prq6zXdJQyV8@hydro.local,,yaoyanfeng,,300,100,100,100,-
15,bunH2O,QxUAOfcp8Shm@hydro.local,,bunH2O,,300,100,-,100,100
15,1234567890,b2IqOf6JRPIt@hydro.local,,1234567890,,300,100,100,100,-
15,OctoberEstuary,xpRjHiU5ISRc@hydro.local,,OctoberEstuary,,300,100,100,100,-
15,born_to_sun,E46VogmP99J8@hydro.local,,born_to_sun,,300,100,100,100,-
15,烟山嘉鸿,QKlGNfuGKiCj@hydro.local,,烟山嘉鸿,,300,100,100,100,-
15,tzl_meow545,ktCQly5S7iLj@hydro.local,,tzl_meow545,,300,100,100,-,100
24,PTqwq,D5gwWYavLdry@hydro.local,,PTqwq,,286,100,47,100,39
25,sunchenyu2012,8OaomV7ttxWZ@hydro.local,,sunchenyu2012,,279,79,100,100,-
26,tenkei,oTcwJ0AplwIn@hydro.local,,tenkei,,276,100,76,100,-
27,FstAutoMaton,OcQsPwTDn6PN@hydro.local,,FstAutoMaton,,268,100,100,68,-
