#,用户,电子邮件,学校,名称,学号,总分数,#1 「yyOI R2」youyou 的垃圾桶,#2 「yyOI R2」youyou 不喜欢夏天,#3 「yyOI R2」youyou 的序列 II,#4 「yyOI R2」youyou 的三进制数
1,Purslane,IYulkpnVqShG@hydro.local,,Purslane,,400,100,100,100,100
2,pp_orange,tL4qhN7OAjWq@hydro.local,,pp_orange,,396,100,100,100,96
3,YuJiahe,qS6RGD0XZbeN@hydro.local,,YuJiahe,,388,100,100,100,88
4,fry2007,dCugF8qJBVoN@hydro.local,,fry2007,,348,100,100,100,48
5,_LSA_,wucJzzKkg2Xq@hydro.local,,_LSA_,,308,100,100,100,8
6,萌熊,o5GKLGtZ764W@hydro.local,,萌熊,,300,100,100,100,0
6,chenjunxiu,WHZbObDxYYSn@hydro.local,,chenjunxiu,,300,100,100,100,-
6,OI_AKed_me,EtsF2yVYLiac@hydro.local,,OI_AKed_me,,300,100,100,100,-
6,Moeebius,F9iKyMnBXDLN@hydro.local,,Moeebius,,300,100,100,100,-
6,bunH2O,QxUAOfcp8Shm@hydro.local,,bunH2O,,300,100,100,100,-
11,幸存者,4h25HRQPX8Dj@hydro.local,,幸存者,,296,100,96,100,-
12,Inaba_Meguru,HdIn9NGerjAG@hydro.local,,Inaba_Meguru,,295,100,100,95,-
13,zdczdc,p6TER5f9XIBm@hydro.local,,zdczdc,,280,100,100,80,0
13,StayingWind,RX7GaAGI1a39@hydro.local,,StayingWind,,280,100,100,80,0
13,Random4F,MKptOxyTtjEu@hydro.local,,Random4F,,280,100,100,80,-
16,tiansuohaoer,ZrkYiv82tVCp@hydro.local,,tiansuohaoer,,276,100,96,80,0
17,ilibilib,EaYwfY9vrXJT@hydro.local,,ilibilib,,258,100,100,50,8
18,sunchenyu2012,8OaomV7ttxWZ@hydro.local,,sunchenyu2012,,250,100,100,50,0
18,syp11,YgYViekdTlgF@hydro.local,,syp11,,250,70,100,80,0
18,mayike,EJODdlpS3keG@hydro.local,,mayike,,250,100,100,50,-
21,EasonLiang,NjpD6ys2S2ws@hydro.local,,EasonLiang,,241,100,96,45,-
22,wangsiyuanZP,8M5WDwdu6uUz@hydro.local,,wangsiyuanZP,,238,100,68,70,-
23,DYH66,gomadoX0qKRF@hydro.local,,DYH66,,236,100,96,40,-
24,OctoberEstuary,xpRjHiU5ISRc@hydro.local,,OctoberEstuary,,235,100,100,35,-
25,statransition,ZasffBhlqgzP@hydro.local,,statransition,,228,100,100,20,8
25,UKBwyx,is8oJbnbwQoa@hydro.local,,UKBwyx,,228,100,100,20,8
27,ThisIsLu,oVQQx4My9aaU@hydro.local,,ThisIsLu,,225,100,100,25,-
28,oldyan,tmLj4GOE4Nzu@hydro.local,,oldyan,,224,100,44,80,-
29,wang_shi,esG2vvVFxpWM@hydro.local,,wang_shi,,220,100,100,20,0
29,KinNa,TWOJNPjMcaPt@hydro.local,,KinNa,,220,100,100,20,-
29,Azure_Space,ksCrieZDPRA8@hydro.local,,Azure_Space,,220,100,100,20,0
32,loip258,oOmbMfmb1Nno@hydro.local,,loip258,,216,100,96,20,-
33,XY_world,y0nUe93KqWXb@hydro.local,,XY_world,,203,60,80,55,8
34,Guchenxi0971,PpqhxfdiQdPi@hydro.local,,Guchenxi0971,,200,100,100,-,-
34,Ayaya,VUVw1sPIx5J7@hydro.local,,Ayaya,,200,100,80,20,-
34,purplevine,I9LxHjZ2rFTl@hydro.local,,purplevine,,200,100,100,0,-
34,Fislett,YouCTehBv9iY@hydro.local,,Fislett,,200,100,100,0,0
38,HOLO,pKZfI1ihrYA5@hydro.local,,HOLO,,196,100,96,-,-
38,shadow,dCCWcrHuvT8F@hydro.local,,shadow,,196,100,96,-,-
40,114514,yzPgupvuGxh0@hydro.local,,114514,,188,100,8,80,-
41,Error_Yuan,cOVr67frNTw2@hydro.local,,Error_Yuan,,187,70,72,45,-
42,Lele_Programmer,fJ8OFBEJ3X7V@hydro.local,,Lele_Programmer,,176,100,76,-,-
42,Flying,g0aA4SfJOJuO@hydro.local,,Flying,,176,80,96,-,-
44,2huker,an5bgqEtDQ00@hydro.local,,2huker,,172,100,44,20,8
45,zzl,y64hFdu6aDd2@hydro.local,,zzl,,170,70,100,0,-
45,Nasaepa·珂爱!,cL4cqsojqvBP@hydro.local,,Nasaepa·珂爱!,,170,70,100,0,0
47,CJ_dengjunhao,3rk5FfaB05ez@hydro.local,,CJ_dengjunhao,,164,100,44,20,-
47,carefree_Zhuang,gwyQo3lZiFDS@hydro.local,,carefree_Zhuang,,164,75,44,45,-
47,mike_666,LPKPNNuPp3Jl@hydro.local,,mike_666,,164,100,44,20,-
50,Redshift_Shine,EL2mhYN1dijF@hydro.local,,Redshift_Shine,,162,100,52,10,-
51,rgw2010,9QSkwZ5inKQV@hydro.local,,rgw2010,,160,100,60,-,-
52,fzs,2iDA8B4O7NAG@hydro.local,,fzs,,150,100,0,50,-
53,JhdFarrell,zKWWXthcJpMR@hydro.local,,JhdFarrell,,149,100,44,5,-
54,xieyijie,ZKY5FndWDoFc@hydro.local,,xieyijie,,144,100,44,-,-
54,louisliang,KOVos2UybGNZ@hydro.local,,louisliang,,144,100,44,-,-
56,Richard,0IoSrypohAs3@hydro.local,,Richard,,136,100,36,0,-
57,邓珈鑫,yisYoV2sgOsk@hydro.local,,邓珈鑫,,135,85,-,50,-
57,blind5883,wefbfQNjTdq2@hydro.local,,blind5883,,135,100,-,35,-
59,tomxi,lNCRas8T3s0e@hydro.local,,tomxi,,127,70,32,25,-
60,louis,JEYOy5yyjrVV@hydro.local,,louis,,124,100,4,20,-
60,lrx139,L4GPZwY022Wq@hydro.local,,lrx139,,124,100,24,0,-
62,jltxsfl,GsK8l03LOB1G@hydro.local,,jltxsfl,,121,60,16,45,-
63,zcy_qwq,kpvHNCkgnF45@hydro.local,,zcy_qwq,,120,100,0,20,-
63,Sirkey,Ncxb8nbdbDWP@hydro.local,,Sirkey,,120,100,20,-,-
63,monkeys_King,tZKkkGpk6suM@hydro.local,,monkeys_King,,120,100,-,20,-
63,lrqcs,CWF5WPYsAXRT@hydro.local,,lrqcs,,120,60,40,20,0
63,_biLang_,Hu9OKoeTXmRM@hydro.local,,_biLang_,,120,100,-,20,-
68,KDL_ANIPLEX,xOB3Ppt2aSqg@hydro.local,,KDL_ANIPLEX,,118,100,8,10,0
69,sl-tongruizhe,MDGR8M4YrmM1@hydro.local,,sl-tongruizhe,,109,100,4,5,-
70,CAICAIA,E82uHbyRFkEy@hydro.local,,CAICAIA,,108,100,8,-,-
70,FFFFFAN,KTc71wPH1Yxc@hydro.local,,FFFFFAN,,108,100,8,0,0
70,I_will_AKIOI,5YtXOS7qmGzL@hydro.local,,I_will_AKIOI,,108,100,8,-,-
73,语录,LVfLiQ2jMeic@hydro.local,,语录,,100,100,-,-,-
73,zibenlun,jGEbUmSjCDyY@hydro.local,,zibenlun,,100,100,-,-,-
73,masirui,PtFxPTklemV4@hydro.local,,masirui,,100,100,-,-,-
73,dcytrl,SM8YVQuVDVCJ@hydro.local,,dcytrl,,100,100,-,-,-
73,mc123456,rJ3CcsST8mGf@hydro.local,,mc123456,,100,100,-,-,-
73,diamond_plus,UMONb18ptJ9V@hydro.local,,diamond_plus,,100,100,-,-,-
73,钟离,xB8lzayKT6Wh@hydro.local,,钟离,,100,100,-,-,-
73,ArcherHelloWorld,HRuCM5BZoezd@hydro.local,,ArcherHelloWorld,,100,100,0,-,-
73,ylinxin2010,dMiPV8Nb2nZt@hydro.local,,ylinxin2010,,100,100,-,-,-
73,旭日临窗,xWNiAAtCGfIM@hydro.local,,旭日临窗,,100,100,-,-,-
73,liuxy1234,yKW37306m4xr@hydro.local,,liuxy1234,,100,100,-,-,-
73,Procdq,FB03VctdfrRH@hydro.local,,Procdq,,100,100,0,-,-
73,呵呵,zYshYfOc7IT9@hydro.local,,呵呵,,100,100,-,-,-
73,ereoth,d9oI4fOD5CKa@hydro.local,,ereoth,,100,100,-,-,-
73,TheShuMo,aPkKMBgknFXl@hydro.local,,TheShuMo,,100,100,-,-,-
73,lanjiarui,g1U0iuiBzSL0@hydro.local,,lanjiarui,,100,100,-,-,-
73,Hok,XlTI02VQgnFR@hydro.local,,Hok,,100,100,-,-,-
73,0x3C17,nmlomcy53cqd@hydro.local,,0x3C17,,100,100,-,-,-
73,WaterSeven,xpyKPbbuJeJJ@hydro.local,,WaterSeven,,100,100,-,-,-
73,hdh,NtacLpiSPVbM@hydro.local,,hdh,,100,100,0,-,-
73,___PatrickChen___,0wS5bA6GWOyb@hydro.local,,___PatrickChen___,,100,100,-,0,-
73,吴鸿涛,YsoAru08qRm9@hydro.local,,吴鸿涛,,100,100,-,-,-
73,rainbow_auto,Vo5h112EeCKT@hydro.local,,rainbow_auto,,100,100,-,-,-
73,chenxumin1017,XvU5pHESKcRt@hydro.local,,chenxumin1017,,100,100,-,-,-
73,Link_Cut_Y,Wo21hg9akkSG@hydro.local,,Link_Cut_Y,,100,100,-,-,-
73,qiliu,b1nLeibHWavh@hydro.local,,qiliu,,100,100,-,-,-
73,Aimtpyim,EmU2JpOCTnJp@hydro.local,,Aimtpyim,,100,100,-,-,-
73,mxhxy,8Dq8sIXPLJwe@hydro.local,,mxhxy,,100,100,-,-,-
73,zxdjmq,LmZMNnnA0PTK@hydro.local,,zxdjmq,,100,100,-,-,-
73,ZhaoYankai,WHNikYZ0h6y9@hydro.local,,ZhaoYankai,,100,100,-,-,-
73,kimi,fwqTn4LAu1Gj@hydro.local,,kimi,,100,100,-,-,-
73,Dtw,A0DwxfKxMzZf@hydro.local,,Dtw,,100,100,-,-,-
73,lzx,2Jr3CGfYMo3x@hydro.local,,lzx,,100,100,-,-,-
73,ydzr00000,9xqhUlVM7c6K@hydro.local,,ydzr00000,,100,100,-,-,-
73,KSCD_,gvZVLzU1sa6h@hydro.local,,KSCD_,,100,100,-,-,-
73,djyqjy,dUYRpsCtotLQ@hydro.local,,djyqjy,,100,100,-,-,-
73,taoxuanyu,ebMesVnmhbN5@hydro.local,,taoxuanyu,,100,100,-,-,-
73,HHC883,ZwQ3izFkRYYU@hydro.local,,HHC883,,100,100,0,-,-
73,ThySecret,vcYaBiSeofbQ@hydro.local,,ThySecret,,100,100,-,-,-
73,Sheep_YCH,k9nFl2kFmaDv@hydro.local,,Sheep_YCH,,100,60,-,40,-
73,\(`Δ’)/,63QTkBP3dQbe@hydro.local,,\(`Δ’)/,,100,100,-,-,-
114,ccx,YZRAYW1JX7nW@hydro.local,,ccx,,96,60,8,20,8
115,jun666,iIgKfUNda2oc@hydro.local,,jun666,,95,95,0,-,-
115,ChengyunSun,X1jzmAjxuDb3@hydro.local,,ChengyunSun,,95,95,-,0,-
115,ht1,9yj0pIgO6Dlo@hydro.local,,ht1,,95,95,0,0,0
118,Ruan_ji,JjLsuJ8LImHl@hydro.local,,Ruan_ji,,88,60,8,20,-
119,CH_mengxiang,rK2khlezARl6@hydro.local,,CH_mengxiang,,85,85,0,-,-
119,L01001101,pG5LhPMyGRYQ@hydro.local,,L01001101,,85,65,20,-,-
119,Herobrine6265,rYk0254HOMWt@hydro.local,,Herobrine6265,,85,45,-,40,-
122,xy0v0,GGKDKo819Phs@hydro.local,,xy0v0,,80,60,0,20,0
122,xushuoxin,syUBW8kQs3za@hydro.local,,xushuoxin,,80,70,0,10,-
122,PCT2506,C16rPersPybA@hydro.local,,PCT2506,,80,70,-,10,-
122,hh20080501hh,fvxPLhmGKjLR@hydro.local,,hh20080501hh,,80,80,-,-,-
122,DANNNqwq,xR64cPnNa0UO@hydro.local,,DANNNqwq,,80,60,-,20,0
122,TLR,3Z4gnWXkQVXn@hydro.local,,TLR,,80,80,0,-,-
128,sunjunhao,qqLPcjLXNcAY@hydro.local,,sunjunhao,,75,65,0,10,0
128,W_SUN,NzdrGGnWgxPV@hydro.local,,W_SUN,,75,60,-,15,-
